SHORT_WINDOW,LONG_WINDOW,PNL
20,340,86916.0
20,310,86776.0
20,260,86690.0
20,330,86626.0
20,320,86614.0
20,300,86422.0
20,290,86158.0
20,280,86048.0
20,270,85860.0
22,310,85310.0
22,320,85236.0
22,330,85144.0
22,300,84952.0
22,340,84942.0
22,290,84930.0
24,320,84900.0
24,300,84876.0
24,310,84852.0
24,330,84616.0
24,290,84608.0
24,340,84560.0
22,260,84396.0
22,270,84336.0
22,280,84260.0
24,280,84244.0
24,270,84164.0
24,260,84028.0
26,300,83844.0
26,310,83838.0
26,290,83638.0
26,320,83592.0
26,340,83482.0
26,280,83362.0
26,330,83272.0
30,290,83010.0
26,270,82938.0
34,280,82938.0
26,260,82910.0
30,300,82902.0
30,280,82878.0
34,290,82842.0
30,340,82802.0
30,270,82794.0
30,330,82676.0
34,340,82674.0
28,300,82656.0
28,310,82646.0
28,290,82628.0
34,300,82604.0
30,320,82592.0
30,310,82560.0
38,340,82530.0
34,310,82526.0
38,280,82522.0
34,270,82428.0
28,280,82410.0
28,340,82376.0
40,260,82372.0
38,330,82360.0
34,320,82338.0
40,340,82326.0
28,270,82326.0
30,260,82324.0
28,320,82278.0
38,310,82272.0
36,290,82258.0
34,330,82250.0
32,290,82222.0
28,260,82218.0
32,300,82170.0
38,290,82166.0
38,320,82152.0
32,280,82124.0
36,280,82124.0
38,270,82110.0
28,330,82106.0
32,270,82096.0
38,300,82074.0
32,320,82062.0
34,260,82038.0
40,330,82016.0
36,340,81966.0
32,330,81958.0
38,260,81946.0
36,320,81918.0
32,310,81916.0
40,280,81916.0
36,270,81912.0
32,340,81908.0
36,330,81888.0
40,270,81874.0
36,300,81872.0
40,300,81780.0
32,260,81734.0
40,310,81708.0
36,260,81658.0
36,310,81596.0
40,290,81592.0
40,320,81462.0
