z_score_threshold,z_score_threshold_basket_2,premium_diff_window,PNL
20,10,30,129506.0
20,20,30,119938.0
10,15,60,119724.0
20,25,30,119069.0
15,20,50,118542.0
15,15,50,117826.0
20,30,30,117326.0
15,10,40,114426.0
10,10,60,112597.0
15,15,40,111982.0
20,15,30,110561.0
15,20,40,110508.0
10,20,60,108125.0
15,10,50,107358.0
10,15,70,105848.0
10,10,70,105732.0
10,30,60,103666.0
15,25,40,100634.0
25,10,30,98558.0
10,30,70,97819.0
15,25,50,96895.0
10,25,60,96598.0
15,10,30,95108.0
10,25,70,92362.0
20,15,40,91770.0
15,30,50,90644.0
25,20,30,90542.0
15,15,60,89682.0
20,20,40,89648.0
15,30,40,89646.0
15,20,30,89107.0
10,20,50,88753.0
20,10,40,88546.0
10,20,70,88488.0
25,25,30,88146.0
15,25,30,87500.0
10,10,30,86930.0
15,20,60,85812.0
10,15,50,84576.0
15,30,30,82358.0
15,10,60,82000.0
25,30,30,81896.0
10,10,40,81884.0
10,15,40,81164.0
20,25,40,80980.0
30,20,50,80818.0
25,15,30,79736.0
15,15,70,79182.0
15,10,70,79146.0
10,20,30,79046.0
15,15,30,78774.0
15,30,60,78251.0
10,30,50,78198.0
10,25,50,77777.0
30,15,50,76271.0
10,20,40,76076.0
20,30,40,75682.0
10,10,50,73704.0
10,25,30,73300.0
10,30,30,71923.0
15,30,70,71428.0
30,25,50,69759.0
10,15,30,69544.0
15,25,60,68023.0
15,20,70,67176.0
15,25,70,67023.0
30,30,50,66135.0
10,25,40,64306.0
25,15,60,63978.0
10,30,40,63342.0
25,20,60,62184.0
20,10,70,61987.0
30,15,40,61373.0
20,15,70,61247.0
30,10,50,60745.0
30,10,40,60148.0
30,20,40,59551.0
25,20,50,58950.0
25,15,50,58921.0
30,25,40,56475.0
25,10,40,55548.0
20,15,60,55266.0
25,10,60,55070.0
20,20,50,54992.0
30,20,30,54587.0
30,10,30,53920.0
25,15,40,53808.0
25,20,40,52644.0
20,20,70,52014.0
30,25,30,51376.0
20,15,50,51100.0
30,20,60,50971.0
20,25,70,50876.0
25,30,60,50771.0
30,30,40,50294.0
30,15,60,50282.0
30,30,30,50198.0
20,20,60,49768.0
30,30,60,48665.0
25,25,40,48308.0
20,10,60,47708.0
25,25,60,47668.0
20,30,70,47594.0
30,15,30,47342.0
25,25,50,46962.0
10,10,250,45576.0
10,20,250,45084.0
10,15,250,44707.0
10,25,250,44588.0
10,30,250,44572.0
20,25,50,43963.0
25,10,50,43823.0
25,30,40,42102.0
30,15,70,41292.0
25,15,70,40298.0
20,10,50,40203.0
25,30,50,39415.0
20,30,60,38325.0
30,25,60,37732.0
15,10,250,37315.0
25,30,70,37086.0
30,20,70,37050.0
20,30,50,36210.0
30,25,70,36026.0
20,25,60,35930.0
25,25,70,35872.0
25,20,70,34995.0
15,20,250,34194.0
25,10,70,34022.0
15,15,250,33817.0
15,25,250,33698.0
15,30,250,33682.0
30,10,70,33206.0
30,10,60,31262.0
30,30,70,27542.0
20,10,250,19701.0
30,10,250,19440.0
25,10,250,19440.0
20,20,250,6744.0
20,15,250,6367.0
20,25,250,6248.0
20,30,250,6232.0
30,20,250,5872.0
25,20,250,5872.0
30,15,250,5495.0
25,15,250,5495.0
30,25,250,5376.0
25,25,250,5376.0
25,30,250,5360.0
30,30,250,5360.0
20,10,1000,3714.0
15,10,1000,3714.0
25,10,1000,3714.0
30,10,1000,3714.0
10,10,1000,3714.0
10,20,1000,0.0
30,25,1000,0.0
30,20,1000,0.0
10,15,1000,0.0
20,25,1000,0.0
10,25,1000,0.0
10,30,1000,0.0
30,15,1000,0.0
15,15,1000,0.0
15,20,1000,0.0
25,30,1000,0.0
15,25,1000,0.0
25,25,1000,0.0
25,20,1000,0.0
15,30,1000,0.0
25,15,1000,0.0
20,15,1000,0.0
20,20,1000,0.0
20,30,1000,0.0
30,30,1000,0.0
